customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
ID_0000,Male,0,No,Yes,57,No,Yes,No,No,No,No internet service,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),46.53,5932.95,No
ID_0001,Female,0,No,Yes,27,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),96.12,2075.35,No
ID_0002,Male,1,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,No internet service,No,One year,No,Bank transfer (automatic),39.28,280.06,No
ID_0003,Male,0,No,Yes,71,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Mailed check,41.55,970.38,No
ID_0004,Male,0,No,No,57,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),23.26,3776.61,No
ID_0005,Female,0,No,Yes,15,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No internet service,Month-to-month,No,Electronic check,37.13,3751.98,No
ID_0006,Male,0,No,No,30,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,56.32,8444.79,No
ID_0007,Male,1,Yes,No,20,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),58.41,4056.72,Yes
ID_0008,Male,0,No,Yes,37,Yes,No,Fiber optic,No internet service,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),60.52,5894.93,No
ID_0009,Female,0,Yes,Yes,3,Yes,No,DSL,Yes,No,Yes,No,Yes,No internet service,Two year,No,Mailed check,66.46,4284.21,No
ID_0010,Male,0,No,Yes,41,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,75.73,2357.91,No
